term syriaca-headword.en	***type	***Source	***currently in use	New URI	idno URI	idno URI	idno URI	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	term syriaca-headword.de	term syriaca-headword.fr	term syriaca-headword.grc	gloss.grc	term syriaca-headword.la	gloss.la	term syriaca-headword.ru	term syriaca-headword.swe	gloss.swe	term syriaca-headword.syr	gloss.syr	term syriaca-headword.tru	gloss.tru	note abstract	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	***[revisit]	***[NOTES]
***																												Clerical	Epistolary	Family	General 	Intellecual	Legal	Military	Monastic	Personal	Professional	Religious	Slavery	Qualifier	Relationships																													
***for abstracts						DNB	ISO Code																																																															
Relationships	big category	Relation		relationships	syriaca:relationships																						This is a relationship category that contains all relationships used in Syriaca.org.																																											
Clerical relationships	category	Relation		clerical-relationships	syriaca:clericalRelationship																						This is a relationship category used to group all relationships that deal with Christian clergy.														http://syriaca.org/keyword/relationships																													
Epistolary relationships	category	Relation		epistolary-relationships	syriaca:epistolaryRelationship																						This is a relationship category used to group all relationships constituted by an act of letter writing.														http://syriaca.org/keyword/relationships																													
Family relationships	category	Relation		family-relationships	syriaca:familyRelationship																						This is a relationship category used to group all family relationships.														http://syriaca.org/keyword/relationships																													
General relationships	category	Relation		general-relationships	syriaca:generalRelationship																						This is a relationship category used to group all relationships not otherwise placed into a category.														http://syriaca.org/keyword/relationships																													
Intellectual relationships	category	Relation		intellectual-relationships	syriaca:intellectualRelationship																						This is a relationship category used to group all relationships focused on an intellectual exchange.														http://syriaca.org/keyword/relationships																													
Legal relationships	category	Relation		legal-relationships	syriaca:legalRelationship																						This is a relationship category used to group all relationships established through the law.														http://syriaca.org/keyword/relationships																													
Military relationships	category	Relation		military-relationships	syriaca:militaryRelationship																						This is a relationship category used to group all military relationships.														http://syriaca.org/keyword/relationships																													
Monastic relationships	category	Relation		monastic-relationships	syriaca:monasticRelationship																						This is a relationship category used to group all monastic relationships.														http://syriaca.org/keyword/relationships																													
Personal relationships	category	Relation		personal-relationships	syriaca:personalRelationship																						This is a relationship category used to group all personal relationships.														http://syriaca.org/keyword/relationships																													
Professional relationships	category	Relation		professional-relationships	syriaca:professionalRelationship																						This is a relationship category used to group all professional relationships.														http://syriaca.org/keyword/relationships																													
Qualifier relationships	category	Relation		qualifier-relationships	syriaca:qualifierRelationship																						A class of relationship entities that qualify family or other types of relationships.														http://syriaca.org/keyword/relationships																													
Religious relationships	category	Relation		religious-relationships	syriaca:religiousRelationship																						This is a relationship category used to group all relationships based on religious ties.														http://syriaca.org/keyword/relationships																													
Slavery relationships	category	Relation		slavery-relationships	syriaca:slaveryRelationship																						This is a relationship category used to group all relationships established through the institution of slavery.														http://syriaca.org/keyword/relationships																													
Proximate event	event	Relation		proximate-event	syriaca:ProximateEvent																						This relationship is used to indicate that two or more event factoids refer to closely related events such as meaningful close proximity, cause and effect, part to whole, etc.														http://syriaca.org/keyword/relationships																													
Same event	event	Relation		same-event	syriaca:SameEvent																						This relationship is used to indicate that two or more event factoids refer to the same event.														http://syriaca.org/keyword/relationships																													
Acknowledged family relationship	qualifier	Relation		acknowledged-family-relationship	snap:AcknowledgedFamilyRelationship																						A "qualifier relationship" indicating that a family relationship was acknowledged by the parties.													http://syriaca.org/keyword/qualifier-relationships																														
Adopted family relationship	qualifier	Relation		adopted-family-relationship	snap:AdoptedFamilyRelationship																						A "qualifier relationship" indicating that a familial relationship was constituted by adoption.													http://syriaca.org/keyword/qualifier-relationships																														
Alleged relationship	qualifier	Relation		alleged-relationship	syriaca:AllegedRelationship																						A "qualifier relationship" indicating that a relationship was alleged. This can be used to indicate a slander of one's opponents, i.e. "Adherents of the Council of Chalcedon are followers of Nestorius."													http://syriaca.org/keyword/qualifier-relationships																														
Claimed family relationship	qualifier	Relation		claimed-family-relationship	snap:ClaimedFamilyRelationship																						A "qualifier relationship" indicating that a family relationship was claimed by some source.													http://syriaca.org/keyword/qualifier-relationships																														
Foster family relationship	qualifier	Relation		foster-family-relationship	snap:FosterFamilyRelationship																						A "qualifier relationship" indicating that a familial relationship was constituted through fostering.													http://syriaca.org/keyword/qualifier-relationships																														
Half family relationship	qualifier	Relation		half-family-relationship	snap:HalfFamilyRelationship																						A "qualifier relationship" indicating that a family relationship was a half relationship instead of a full relationship, i.e. half-sibling.													http://syriaca.org/keyword/qualifier-relationships																														
In law family relationship	qualifier	Relation		in-law-family-relationship	snap:InLawFamilyRelationship																						A "qualifier relationship" indicating that a family relationship was constituted through marriage.													http://syriaca.org/keyword/qualifier-relationships																														
Maternal family relationship	qualifier	Relation		maternal-family-relationship	snap:MaternalFamilyRelationship																						A "qualifier relationship" indicating indicating that a family connection was matrilineal.													http://syriaca.org/keyword/qualifier-relationships																														
Paternal family Relationship	qualifier	Relation		paternal-family-relationship	snap:PaternalFamilyRelationship																						A "qualifier relationship" indicating indicating that a family connection was patrilineal.													http://syriaca.org/keyword/qualifier-relationships																														
Ritual Kinship	qualifier	Relation		ritual-kinship	syriaca:RitualKinship																						A "qualifier relationship" indicating that a family relationship was consituted through some kind of ritual rather than through other means, i.e. godparenthood or blood-brotherhood.													http://syriaca.org/keyword/qualifier-relationships																														
Step family relationship	qualifier	Relation		step-family-relationship	snap:StepFamilyRelationship																						A "qualifier relationship" indicating that a family relationship was constituted through remarriage.													http://syriaca.org/keyword/qualifier-relationships																														
Alliance with		Relation		alliance-with	snap:AllianceWith																						A relationship beween two or more people involved in an alliance.									http://syriaca.org/keyword/personal-relationships																																		
Ancestor of		Relation		ancestor-of	snap:AncestorOf																						An ancester of a person when the relationship is either very distant in time and/or the specific relationship is unknown.			http://syriaca.org/keyword/family-relationships																																								
Baptized		Relation		baptized	syriaca:Baptized																						A relationship between a member of the clergy and a person baptized by that clergy person.	http://syriaca.org/keyword/clerical-relationships																																										
Bishop over		Relation		bishop-over	syriaca:BishopOver																						A relationship between a bishop and a person under his ecclesiastical authority if that person was either laity or whose clerical status is unknown.	http://syriaca.org/keyword/clerical-relationships																																										
Bishop over bishop		Relation		bishop-over-bishop	syriaca:BishopOverBishop																						A relationship between a bishop and a one or more bishops under his ecclesiastical authority, as in a patriarch or metropolitan bishop.	http://syriaca.org/keyword/clerical-relationships																																										
Bishop over clergy		Relation		bishop-over-clergy	syriaca:BishopOverClergy																						A relationship between a bishop and one or more members of the clergy over whom he exercises authority.	http://syriaca.org/keyword/clerical-relationships																																										
