New URI	persName syriaca-headword.en		persName ektobe-headword.Source 1.fr	relation possibly-identical	relation syriaca---differentFrom	death.Source 1		death when.Source 1	death notBefore.Source 1	death notAfter.Source 1	birth.Source 1	birth when.Source 1		floruit.Source 1.fr	floruit when.Source 1		floruit notBefore.Source 1		floruit notAfter.Source 1		persName syriaca-headword.Source 1.syr	persName.Source 1.syr	persName.Source 1.fr	state office.Source 1.fr	state office.Source 1.fr	note relation.Source 1.fr	persName.Source 1.fr	persName.Source 1.fr	persName.Source 1.ar	persName.Source 4.en-x-gedsh	Source 1	citedRange entry.Source 1	Source 4	citedRange pp.Source 4	person ana		
*** Syriaca ID	Syriaca Headword	Noms 	ektobe Headword (no date)	Possibly Identical?									extracted date							Formes usuelles	Formes usuelles (syriaque)	Formes usuelles (syriaque)	Formes usuelles (français)				Formes usuelles (français)	Formes usuelles (français)	Formes usuelles (arabe)							Rôles	Remarks for SYRIACA
3502	ʿAbdishoʿ the Solitary	Abdišo' le Solitaire	Abdišo' le Solitaire																	ܥܒܕܝܫܘܥ	ܥܒܕܝܫܘܥ										2499				#syriaca-author 	auteur	
3505	Abraham of Nisibis	Abraham de Nisibe (6 s.)	Abraham de Nisibe		http://syriaca.org/person/1550								6 s.	6 s.		450	0450	650	0650	ܐܒܪܗܡ	ܐܒܪܗܡ										2499				#syriaca-author 	Auteur	
3506	Al-Kindi	Al-Kindi (†873)	Al-Kindi			873	†873	0873					†873																		2499				#syriaca-author 	Auteur	
3507	Ignatius Andrew Akhījān	André Aḥijan (17 s.)	André Aḥijan										17 s.	17 s.		1550	1550	1750	1750	Patriarche				Patriarche						Ignatius Andraos Akhījān	2499		681	none	#syriaca-author 	Auteur	
3508	Athanasius of Jerusalem	Athanase de Jérusalem (13-14 s.)	Athanase de Jérusalem										13-14 s.	13-14 s.		1150	1150	1450	1450	ܐܬܐܢܣܝܘܣ 	ܐܬܐܢܣܝܘܣ 										2499				#syriaca-author 	Auteur	
3509	Athanasius, bishop of Nestruwān	Athanase évêque de Nestruwān	Athanase évêque de Nestruwān																	ܐܬܐܢܣܝܘܣ ܐܣܩܦ ܡܕܝܢܗ ܢܣܬܪܘܢ	ܐܬܐܢܣܝܘܣ ܐܣܩܦ ܡܕܝܢܗ ܢܣܬܪܘܢ										2499				#syriaca-author 	Auteur	
3510	Basil Manʿemaya	Basile Man'amaya	Basile Man'amaya																	ܒܣܝܠܝܘܣ ܡܢܥܡܝܐ	ܒܣܝܠܝܘܣ ܡܢܥܡܝܐ										2499				#syriaca-author 	Auteur	
3511	Basil, maphrian	Basilios (♱1445)	Basilios			1445	†1445	1445												 (Maphrien du Ṭur 'Abdin)* ܒܣܝܠܝܘܣ	ܒܣܝܠܝܘܣ			Maphrien du Ṭur 'Abdin					 		2499				#syriaca-author 	Auteur / Copié du temps de	
3512	Bellarmin, Robert	Bellarmin, Robert (1542-1621)	Bellarmin, Robert			1621	1621	1621			1542	1542	1542-1621							ܪܘܒܪܛܘܣ ܒܠܠܪܡܝܢܘ	ܪܘܒܪܛܘܣ ܒܠܠܪܡܝܢܘ										2499				#syriaca-author 	Auteur	
