	persName ektobe-headword.Source 1.fr	relation possibly-identical	death.Source 1.fr	death when.Source 1	death notBefore.Source 1	death notAfter.Source 1	birth.Source 1.fr	birth when.Source 1		floruit.Source 1.fr	floruit when.Source 1		floruit notBefore.Source 1		floruit notAfter.Source 1		persName syriaca-headword.Source 1.syr	persName.Source 1.syr	persName.Source 1.fr	state office.Source 1.fr	state office.Source 1.fr	note relation.Source 1.fr	persName.Source 1.fr	persName.Source 1.fr	persName.Source 1.ar	Source 1	citedRange entry.Source 1	Source 2	citedRange fol.Source 2	New URI	person ana		
Noms 	ektobe Headword (no date)	Possibly Identical?							extracted date							Formes usuelles	Formes usuelles (syriaque)	Formes usuelles (syriaque)	Formes usuelles (français)				Formes usuelles (français)	Formes usuelles (français)	Formes usuelles (arabe)					Syriaca ID		Rôles	Remarks for SYRIACA
Abdišo' de Gazarta (16 s.)	Abdišo' de Gazarta								16 s.	16 s.		1450	1450	1650	1650	ܥܒܕܝܫܘܥ ܕܓܙܪܬܐ	ܥܒܕܝܫܘܥ ܕܓܙܪܬܐ									2499	none			311	#syriaca-author 	Auteur	
Abdišo' de Nisibe († 1318)	Abdišo' de Nisibe		† 1318	1318					† 1318							 'Abdišo' bar Brika ; 'Abdišo' de Ṣoba et d'Arménie ; 'Ebed Yešu'ܥܒܕܝܫܘܥ ܕܨܘܒܐ ܘܕܐܪܡܢܝܐ	ܥܒܕܝܫܘܥ ܕܨܘܒܐ ܘܕܐܪܡܢܝܐ		'Abdišo' bar Brika				'Abdišo' de Ṣoba et d'Arménie	'Ebed Yešu'	 	2499	none			310	#syriaca-author 	Auteur	
Abdochos de Mélitène (12 s.) 	Abdochos de Mélitène								12 s.	12 s.		1050	1050	1250	1250	 Eudochus ܐܒܕܘܟܘܣ	ܐܒܕܘܟܘܣ		Eudochus						 	2499	none			204	#syriaca-author 	Auteur	
Aḥob Qaṭraya	Aḥob Qaṭraya															ܐܚܘܒ ܩܛܪܝܐ	ܐܚܘܒ ܩܛܪܝܐ									2499	none			324	#syriaca-author 	Auteur	
Alexis (5 s.)	Alexis															 Homme de Dieu / (Nestor ܢܣܛܘܪܝܣ Riša)*  ܐܠܟܣܝܣ	ܢܣܛܘܪܝܣ	ܐܠܟܣܝܣ	 Homme de Dieu				Nestor Riša		 	2499	none			607		Saint	
Ammonas (4 s.)	Ammonas								4 s.	4 s.		250	0250	450	0450	ܐܡܘܢܝܣAmmonios 	ܐܡܘܢܝܣ		Ammonios							2499	none			855	#syriaca-author 	Auteur	
Apnimaran	Apnimaran																									2499	none			883	#syriaca-author 	Auteur 	
Aristote de Stagire (384-322 av. J.-C.)	Aristote de Stagire		322 av. J.-C.	-0322			384 av. J.-C.	-0383	384-322 av. J.-C.							ܐܪܝܣܛܘܛܐܠܝܣ, ܐܪܝܣܛܛܠܝܣ 	ܐܪܝܣܛܘܛܐܠܝܣ	ܐܪܝܣܛܛܠܝܣ								2499	none			342	#syriaca-author 	Auteur	
Athanase d'Alexandrie († 373)	Athanase d'Alexandrie		† 373	0373					† 373							ܐܬܢܣܝܘܣ	ܐܬܢܣܝܘܣ									2499	none			354	#syriaca-author 	Auteur	
Athanase de Balad (†686)	Athanase de Balad		†686	0686					†686							ܐܬܢܣܝܘܣ	ܐܬܢܣܝܘܣ									2499	none			109	#syriaca-author 	auteur	
Balaï	Balaï																									2499	none			27	#syriaca-author 	Attribué à	
Barḥadbšabba 'Arbaya (6-7 s.)	Barḥadbšabba 'Arbaya								6-7 s.	6-7 s.		450	0450	750	0750	ܒܪ ܚܕܒܫܒܐ ܥܪܒܝܐ	ܒܪ ܚܕܒܫܒܐ ܥܪܒܝܐ									2499	none			367	#syriaca-author 	Auteur	
Basile de Césarée (†379)	Basile de Césarée		†379	0379					†379							ܒܣܝܠܣ ܩܣܪܝܐ	ܒܣܝܠܣ ܩܣܪܝܐ									2499	none			376	#syriaca-author #syriaca-saint	Auteur / Saint / Attribué à	
Cosmas le diacre (5-6 s.)	Cosmas le diacre								5-6 s.	5-6 s.		350	0350	650	0650	ܩܘܙܡܐDisciple de Siméon le Stylite 	ܩܘܙܡܐ					Disciple de Siméon le Stylite				2499	none			31	#syriaca-author 	Auteur	
Cyrille d'Alexandrie (†444)	Cyrille d'Alexandrie		†444	0444					†444							ܩܘܪܝܠܘܣ	ܩܘܪܝܠܘܣ									2499	none			430	#syriaca-author 	auteur	
Cyrille de Jérusalem (†387)	Cyrille de Jérusalem		†387	0387					†387							ܩܘܪܝܠܘܣ	ܩܘܪܝܠܘܣ									2499	none			431	#syriaca-author 	Auteur	
Dadišo' Qaṭraya (7 s.)	Dadišo' Qaṭraya								7 s.	7 s.		550	0550	750	0750	ܕܕܝܫܘܥ ܩܛܪܝܐ	ܕܕܝܫܘܥ ܩܛܪܝܐ									2499	none			434	#syriaca-author 	Auteur	
Damase de Rome (†384)	Damase de Rome		†384	0384					†384							ܕܡܣܘܣ	ܕܡܣܘܣ									2499	none			841	#syriaca-author 	auteur	
Daniel de Mardin	Daniel de Mardin															ܕܐܢܝܐܠ ܐܒܢ ܥܝܣܝ	ܕܐܢܝܐܠ ܐܒܢ ܥܝܣܝ									2499	none			256	#syriaca-author 	Auteur	
Daniel de Ṣalaḥ (6 s.)	Daniel de Ṣalaḥ								6 s.	6 s.		450	0450	650	0650	ܕܢܐܝܠ ܕܨܠܚ	ܕܢܐܝܠ ܕܨܠܚ									2499	none			59	#syriaca-author 	Auteur	
David fils de Paul	David fils de Paul															ܕܘܝܕ, ܕܰܘܻܝܕ ܒܰܪ ܦܰܘܠܳܘܣ	ܕܘܝܕ	ܕܰܘܻܝܕ ܒܰܪ ܦܰܘܠܳܘܣ								2499	none			144	#syriaca-author 	Auteur	
David le phénicien	David le phénicien															ܕܘܝܕ	ܕܘܝܕ									2499	none			273	#syriaca-author 	Auteur	
Denḥa (9 s.)	Denḥa								9 s.	9 s.		750	0750	950	0950	ܕܢܚܐ	ܕܢܚܐ									2499	none			177	#syriaca-author 	Attribué à	
Denys bar Ṣalibi (†1171)	Denys bar Ṣalibi		†1171	1171					†1171							ܕܝܢܘܣܝܘܣ ܒܪ ܨܠܝܒܝ,  Dionysisos bar Salibi 	ܕܝܢܘܣܝܘܣ ܒܪ ܨܠܝܒܝ		Dionysisos bar Salibi 							2499	none			212	#syriaca-author 	Auteur	
Dioscore de Gazarta	Dioscore de Gazarta															ܕܝܘܣܩܘܪܘܣ	ܕܝܘܣܩܘܪܘܣ									2499	none			243	#syriaca-author 	auteur	
