New URI	persName ektobe-headword.Source 1.fr	relation possibly-identical	relation syriaca---differentFrom	death.Source 1.fr	death when.Source 1	death notBefore.Source 1	death notAfter.Source 1	birth.Source 1.fr	birth when.Source 1		floruit.Source 1.fr	floruit when.Source 1		floruit notBefore.Source 1		floruit notAfter.Source 1		persName.Source 1.syr	persName.Source 1.syr	persName.Source 1.fr	state office.Source 1.fr	state office.Source 1.fr	note relation.Source 1.fr	persName.Source 1.fr	persName.Source 1.fr	persName.Source 1.ar	Source 1	Source 2	citedRange fol.Source 2	Source 3	Source 4	citedRange pp.Source 4	person ana		
*** Syriaca ID	Noms 	Possibly Identical?								extracted date							Formes usuelles	Formes usuelles (syriaque)	Formes usuelles (syriaque)	Formes usuelles (français)				Formes usuelles (français)	Formes usuelles (français)	Formes usuelles (arabe)								Rôles	Remarks for SYRIACA
3502	Abdišo' le Solitaire																ܥܒܕܝܫܘܥ	ܥܒܕܝܫܘܥ									2499						#syriaca-author 	auteur	
3503	Abdmšiḥa de Ḥirta (10-11 s.)	http://syriaca.org/person/889								10-11 s.	10-11 s.		850	0850	1150	1150	ܥܒܕܡܫܝܚܐ	ܥܒܕܡܫܝܚܐ									2499						#syriaca-author 	Auteur	
3504	Abimelek de Nisibe	http://syriaca.org/person/1106															ܐܒܝܡܠܟ	ܐܒܝܡܠܟ									2499	Paris, Bibliothèque nationale de France, syr. 024		http://www.msscatalog.org/62683			#syriaca-author 	Auteur	the same as 793 ? Cf. Paris BnF syr. 024
3505	Abraham de Nisibe (6 s.)		http://syriaca.org/person/1550							6 s.	6 s.		450	0450	650	0650	ܐܒܪܗܡ	ܐܒܪܗܡ									2499						#syriaca-author 	Auteur	
3506	Al-Kindi (†873)			†873	0873					†873																	2499						#syriaca-author 	Auteur	
3507	André Aḥijan (17 s.)									17 s.	17 s.		1550	1550	1750	1750	Patriarche				Patriarche						2499						#syriaca-author 	Auteur	
3508	Athanase de Jérusalem (13-14 s.)									13-14 s.	13-14 s.		1150	1150	1450	1450	ܐܬܐܢܣܝܘܣ 	ܐܬܐܢܣܝܘܣ 									2499						#syriaca-author 	Auteur	
3509	Athanase évêque de Nestruwān 																ܐܬܐܢܣܝܘܣ ܐܣܩܦ ܡܕܝܢܗ ܢܣܬܪܘܢ	ܐܬܐܢܣܝܘܣ ܐܣܩܦ ܡܕܝܢܗ ܢܣܬܪܘܢ									2499						#syriaca-author 	Auteur	
3510	Basile Man'amaya																ܒܣܝܠܝܘܣ ܡܢܥܡܝܐ	ܒܣܝܠܝܘܣ ܡܢܥܡܝܐ									2499						#syriaca-author 	Auteur	
3511	Basilios (♱1445)			†1445	1445												 (Maphrien du Ṭur 'Abdin)* ܒܣܝܠܝܘܣ	ܒܣܝܠܝܘܣ			Maphrien du Ṭur 'Abdin					 	2499						#syriaca-author 	Auteur / Copié du temps de	
3512	Bellarmin, Robert (1542-1621)			1621	1621			1542	1542	1542-1621							ܪܘܒܪܛܘܣ ܒܠܠܪܡܝܢܘ	ܪܘܒܪܛܘܣ ܒܠܠܪܡܝܢܘ									2499						#syriaca-author 	Auteur	
3513	Bišoy de Constantinople																ܒܝܫܘܝ	ܒܝܫܘܝ									2499						#syriaca-author 	Auteur	
3514	Célestin de Rome (†432)			†432	0432					†432							ܩܐܠܐܣܛܝܢܘܣ	ܩܐܠܐܣܛܝܢܘܣ									2499						#syriaca-author 	auteur	
3515	Claude Ptolémée (2 s.)									2 s.	2 s.		50	0050	250	0250	ܦܛܐܠܘܡܘܣ	ܦܛܐܠܘܡܘܣ									2499						#syriaca-author 	Auteur	
3516	Constantin de Laodicée (7 s.)	http://syriaca.org/person/2443								7 s.	7 s.		550	0550	750	0750	ܩܘܢܣܛܢܛܝܢܐ	ܩܘܢܣܛܢܛܝܢܐ									2499						#syriaca-author 	auteur	
3517	Cyriaque de Behnasa 																 Cyriaque d'Oxyrhynque  ܩܘܪܝܐܩܘܣ	ܩܘܪܝܐܩܘܣ		Cyriaque d'Oxyrhynque						 	2499						#syriaca-author 	Auteur	
3518	Cyriaque de Mardin († 623) 			† 623	0623					† 623							ܩܘܪܝܩܐ	ܩܘܪܝܩܐ									2499						#syriaca-author 	Auteur	
3519	Dawud (11 s.)									11 s.	11 s.		950	0950	1150	1150	ܕܘܘܕDavid 	ܕܘܘܕ		David							2499						#syriaca-author 	Traducteur	
3520	Dawud al-Anṭaki																ܕܘܘܕ ܐܠܐܢܛܟܝ	ܕܘܘܕ ܐܠܐܢܛܟܝ									2499						#syriaca-author 	Auteur	
3521	Dorotheos de Marcianopolis	http://syriaca.org/person/2444															ܕܘܪܬܐܘܣ	ܕܘܪܬܐܘܣ									2499						#syriaca-author 	Auteur	
3522	Élisée, disciple de Malchus de Clysma (4-5 s.)									4-5 s.	4-5 s.		250	0250	550	0550	ܐܠܝܫܥdisciple de Malchus de Clysma	ܐܠܝܫܥ		disciple de Malchus de Clysma							2499						#syriaca-author 	Attribué à	
3523	Étienne, disciple d'Abraham de la Haute Montagne (5 s.)	http://syriaca.org/person/1709								5 s.	5 s.		350	0350	550	0550	ܐܣܛܦܢܘܣ	ܐܣܛܦܢܘܣ									2499						#syriaca-author 	Auteur	
3524	Étienne de la Thébaïde																ܐܣܛܦܐܢ ܐܠܬܒܐܝܣܝ 	ܐܣܛܦܐܢ ܐܠܬܒܐܝܣܝ									2499						#syriaca-author 	Auteur	
3525	Gabriel de Mar-Aḥḥa (16-17 s.)									16-17 s.	16-17 s.		1450	1450	1750	1750	ܓܒܪܐܝܠ ܕܡܪ ܐܚܐ	ܓܒܪܐܝܠ ܕܡܪ ܐܚܐ									2499	Paris, Bibliothèque nationale de France, syr. 371, F		http://www.msscatalog.org/64514			#syriaca-author 	Auteur / copiste	cf. Paris BnF syr. 371, F
3526	Gabriel de Šiarzur (7 s.)									7 s.	7 s.		550	0550	750	0750	ܓܒܪܝܠ ܡܢ ܐܬܪ̈ܐ ܕܫܝܪܙܘܪ	ܓܒܪܝܠ ܡܢ ܐܬܪ̈ܐ ܕܫܝܪܙܘܪ									2499						#syriaca-author 	Auteur	
3527	Gabriel ibn al-Qala'i (15 s.)									15 s.	15 s.		1350	1350	1550	1550	ܓܒܪܐܝܠ ܐܒܢ ܐܠܩܠܐܥܝ	ܓܒܪܐܝܠ ܐܒܢ ܐܠܩܠܐܥܝ									2499						#syriaca-author 	traducteur	
3528	Georges de Nisibe	http://syriaca.org/person/991															ܓܝܘܪܓܝܣ	ܓܝܘܪܓܝܣ									2499						#syriaca-author 	Auteur	
3529	Giwargis Peṭros (17 s.)									17 s.	17 s.		1550	1550	1750	1750	Patriarche maronite d'Antioche, ܓܘܪܓܝܣ ܦܛܪܘܣ	ܓܘܪܓܝܣ ܦܛܪܘܣ			Patriarche maronite d'Antioche						2499						#syriaca-author 	Auteur	
3530	Grégoire le prêtre																ܓܪܝܓܘܪܝܘܣ, Grégoire de Césarée	ܓܪܝܓܘܪܝܘܣ		Grégoire de Césarée							2499						#syriaca-author 	auteur	
3531	Grigor de Gamre																Grégoire  ܓܪܝܓܘܪ ܓܡܪܝܐ	ܓܪܝܓܘܪ ܓܡܪܝܐ		Grégoire							2499						#syriaca-author 	Auteur	
3532	Ḥaneh de Bet Seto																ܚܢܗ 	ܚܢܗ 									2499						#syriaca-author 	Auteur	
3533	Ḥanun																ܚܐܢܘܢ	ܚܐܢܘܢ									2499	Paris, Bibliothèque nationale de France, syr. 403		http://www.msscatalog.org/64836			#syriaca-author 	Auteur	Cf. Paris BnF syr. 403
3534	Ḥnanišo'	http://syriaca.org/person/531 http://syriaca.org/person/474															ܚܢܢܝܫܘܥ	ܚܢܢܝܫܘܥ									2499						#syriaca-author 	Auteur	
3535	Ibn al-'Assal († ca. 1265)			† ca. 1265		1250	1280			† ca. 1265							ܐܒܢ ܐܠܥܣّܐܠ	ܐܒܢ ܐܠܥܣّܐܠ									2499	Charfet, Patriarchal Library, Rahmani 013		http://www.msscatalog.org/61931			#syriaca-author 	Auteur	cf. Charfet Rahmani 013
3536	Ignaṭios de Mar-Mattaï																ܐܝܓܢܐܛܝܘܣ	ܐܝܓܢܐܛܝܘܣ									2499						#syriaca-author 	Auteur	
3537	Ignaṭios Jean XIII Bar Sila (†1493)	http://syriaca.org/person/271		†1493	1493					†1493							Ignace Patriarche d'Antioche, ܐܝܓܢܐܛܝܘܣ 	ܐܝܓܢܐܛܝܘܣ		Ignace Patriarche d'Antioche	Patriarche d'Antioche						2499						#syriaca-author 	Auteur	
3538	Isaac d'Alqoš																ܐܝܣܚܩ ܐܠܩܘܫܝܐ	ܐܝܣܚܩ ܐܠܩܘܫܝܐ									2499						#syriaca-author 	Auteur	
3539	Isḥaq de Mossoul																Isaac, ܐܣܚܩ	ܐܣܚܩ		Isaac							2499						#syriaca-author 	traducteur	
3540	Išo'yahb (15 s.)									15 s.	15 s.		1350	1350	1550	1550	ܝܫܘܥܝܗܒ, Métropolite d'Arbèles 	ܝܫܘܥܝܗܒ			Métropolite d'Arbèles						2499						#syriaca-author 	Auteur	
3541	Jacques de Tagrit (12-13 s.) 									12-13 s.	12-13 s.		1050	1050	1350	1350	Jacques de Bartella, Sévère bar Šakku, ܝܥܩܘܒ, ܣܘܐܪܐ ܒܪ ܫܟܟܘ	ܝܥܩܘܒ	ܣܘܐܪܐ ܒܪ ܫܟܟܘ	Jacques de Bartella				Sévère bar Šakku			2499						#syriaca-author 	Auteur	
3542	Jean de Baṣra																ܝܘܚܢܢ	ܝܘܚܢܢ									2499						#syriaca-author 	auteur	
3543	Jean de Carpathos (7 s.)									7 s.	7 s.		550	0550	750	0750	ܝܘܚܢܐ	ܝܘܚܢܐ									2499						#syriaca-author 	Auteur	
3544	Jean de Ḥarran, Ḥabira et Nisibe (13 s.)									13 s.	13 s.		1150	1150	1350	1350	ܐܝܐܘܢܝܣ	ܐܝܐܘܢܝܣ									2499						#syriaca-author 	auteur	
3545	Jean Hesronite (17 s.)									17 s.	17 s.		1550	1550	1750	1750	ܝܘܚܢܢ	ܝܘܚܢܢ									2499						#syriaca-author 	auteur	
3546	Jean d'Égypte (6 s.)									6 s.	6 s.		450	0450	650	0650	ܝܘܚܢܢ	ܝܘܚܢܢ									2499						#syriaca-author 	auteur	
3547	Jean l'Évèque																ܝܘܽܚܰܢܳܢ ܐܶܦܻܝܣܩܽܘܦܽܐ	ܝܘܽܚܰܢܳܢ ܐܶܦܻܝܣܩܽܘܦܽܐ									2499						#syriaca-author 	Auteur	
3548	Jean de la Thébaïde																ܝܘܚܢܐ ܐܠܬܒܐܝܣܝ 	ܝܘܚܢܐ ܐܠܬܒܐܝܣܝ 									2499						 	Auter 	
3549	Jirjis de Rome (18 s.)									18 s.	18 s.		1650	1650	1850	1850	Georges ܓܪܓܣ 	ܓܪܓܣ		Georges							2499	Paris, Bibliothèque nationale de France, syr. 218		http://www.msscatalog.org/63773			#syriaca-author 	Auteur	Cf. Paris BnF syr. 218
3550	Job de Ḥabsenas																ܐܝܘܒ ܕܚܒܣܝܢܣ	ܐܝܘܒ ܕܚܒܣܝܢܣ									2499						#syriaca-author 	Auteur	
3551	Joseph Audo																Patriarche de Mossoul ܝܘܣܦ ܐܘܕܐ	ܝܘܣܦ ܐܘܕܐ			Patriarche de Mossoul						2499						#syriaca-author 	traducteur	
3552	Joseph Baslucita (17 s.)									17 s.	17 s.		1550	1550	1750	1750											2499						#syriaca-author 	Auteur	
3553	Jules de Rome (4 s.)	http://syriaca.org/person/2163								4 s.	4 s.		250	0250	450	0450	ܝܘܠܝܘܣ	ܝܘܠܝܘܣ									2499						#syriaca-author 	auteur	
3554	Justinien de Tours (17 s.)									17 s.	17 s.		1550	1550	1750	1750	Michel Fevre ou Febure, ميخايل			Michel Fevre				Michel Febure		ميخايل	2499						#syriaca-author 	auteur	
3555	Macaire d'Alexandrie (4 s.)	http://syriaca.org/person/856 http://syriaca.org/person/1346	http://syriaca.org/person/601							4 s.	4 s.		250	0250	450	0450	ܡܩܪܝܣ	ܡܩܪܝܣ									2499						#syriaca-author #syriaca-saint	Attribué à / saint	Beware : Macarius Alexandrinus is different from Macarius / Symeon, author of the Macarian Homilies (Syriaca ID 601)
3556	Marc évêque de Sakhā.																										2499						#syriaca-author 	traducteur	
3557	Michel d'Amid (avant 16 s.)									avant 16 s.	avant 16 s.		1450	1450			ܡܝܟܐܝܠ	ܡܝܟܐܝܠ									2499						#syriaca-author 	Auteur	
3558	Michel évêque de Tanis																										2499						#syriaca-author 	Auteur 	
3559	Mirijan le prêtre																ܡܝܪܝܓܐܢ Evêque Athanase	ܡܝܪܝܓܐܢ 		Evêque Athanase	Evêque						2499						#syriaca-author 	Auteur	
3560	Mirza de Midun																ܡܝܪܙܐ ܡܕܝܘܝܐ	ܡܝܪܙܐ ܡܕܝܘܝܐ									2499						#syriaca-author 	Auteur	
3561	Nazif Khazin (fin 17 s.) 									fin 17 s.	fin 17 s.		1625	1625	1675	1675	Prince des maronites du Mont Liban				Prince des maronites du Mont Liban						2499						#syriaca-author 	Auteur	
