New URI	Edition 1	citedRange entry.Edition 1		witnesses.Edition 1	Edition 2	citedRange vol.Edition 2	citedRange pp.Edition 2	MS 1	citedRange fol.MS 1	title syriaca-headword.Edition 1.en	title syriaca-headword.en	title.Edition 1.en	title abbreviation.en	title.en	title syriaca-headword.Edition 1.syr	title.MS 1.syr	author ref.Edition 1				relation dct---isPartOf.Edition 1	Translation 1	citedRange vol.Translation 1	lang.Translation 1
*** Syriaca Work ID	Syriac Corpus Bibl	Syriac Corpus Entry	Syriac Corpus URI	Witnesses of Syriac Corpus text	Transcribed Edition	Vols from transcribed edition (if relevant)	Pages from transcribed edition	Transcribed Manuscript	Manuscript Folios	English Title (Headword, Edition 1)	English Title (Headword, if different from Edition 1	English Title (Edition 1, if different from Headword)	English Abbreviation		Syriac Title (Headword, Edition 1)	Syriac Title (MS 1)	Author URI	Author Headword (not for export)	Is Part of Work URI	Number in Collection	Is Part of Work URI {number in collection}			
*** REQUIRED. Contains the new Syriaca.org URI to be assigned to each row.	bibl entry of Syriac Corpus in Syriaca.org	Entry title + [URI] (auto-generated)	Used to autogenerate citedRange entry.Edition 1	Names of columns containing ids of manuscripts, editions, etc. that are witnesses for this work. Separate multiple items with commas.	Use bibl URI (e.g., 2329 for Parisot)			Syriaca.org manuscript URI or shelfmark if there is no URI yet.	Folio numbers cited from MS 1	REQUIRED. (text) The display name used in Syriaca page titles, etc. Each row must have at least 1 cell with a "title syriaca-headword" value, in English ("en"), transliteration (e.g., "en-x-gedsh"), or Syriac ("syr"). This can have a source but doesn't have to. (See http://syriaca.org/exist/apps/srophe/documentation/headwords.html)					REQUIRED. (text) The display name used in Syriaca page titles, etc. Each row must have at least 1 cell with a "title syriaca-headword" value, in English ("en"), transliteration (e.g., "en-x-gedsh"), or Syriac ("syr"). This can have a source but doesn't have to. (See http://syriaca.org/exist/apps/srophe/documentation/headwords.html)	Syriac title according to source MS 1.	RECOMMENDED. (URI) The full Syriaca.org URI of the work author, according to Source 1. If there is more than 1 author from Source 1, duplicate this column.				OPTIONAL. (Syriaca.org URI) The URI of a Syriaca.org work which contains this work. Separate multiple URIs with commas. (If the URI contains commas [unlikely], replace them with "%2c".) The conversion automatically uses the value of the column name after "relation_" as the @ref of the <relation>, but currently only "possibly-identical" is defined in the column-mapping template. Triple-hyphens (---) in the @ref values are converted to colons (:) to allow prefixed namespaces. If the work should be assigned an order within the larger work, place the order number in { } after the containing work URI, separated by a space.			
8501	2331	Demonstrations								Demonstrations							http://syriaca.org/person/10	Aphrahat						
8502	2331	Prefatory Letter [https://syriaccorpus.org/24]	https://syriaccorpus.org/24	Edition 2	2329					Prefatory Letter							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	1	http://syriaca.org/work/8501 {1}			
8503	2331	Demonstration 1: On Faith [https://syriaccorpus.org/1]	https://syriaccorpus.org/1	Edition 2	2329		5-46			Demonstration 1: On Faith							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	2	http://syriaca.org/work/8501 {2}			
8504	2331	Demonstration 2: On Love [https://syriaccorpus.org/2]	https://syriaccorpus.org/2	Edition 2	2329		47-96			Demonstration 2: On Love							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	3	http://syriaca.org/work/8501 {3}			
8505	2331	Demonstration 3: On Fasting [https://syriaccorpus.org/3]	https://syriaccorpus.org/3	Edition 2	2329		97-136			Demonstration 3: On Fasting							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	4	http://syriaca.org/work/8501 {4}			
8506	2331	Demonstration 4: On Prayer [https://syriaccorpus.org/4]	https://syriaccorpus.org/4	Edition 2	2329		137-182			Demonstration 4: On Prayer							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	5	http://syriaca.org/work/8501 {5}			
8507	2331	Demonstration 5: On Wars [https://syriaccorpus.org/5]	https://syriaccorpus.org/5	Edition 2	2329		183-238			Demonstration 5: On Wars							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	6	http://syriaca.org/work/8501 {6}			
8508	2331	Demonstration 6: On the Bnay Qyama [https://syriaccorpus.org/6]	https://syriaccorpus.org/6	Edition 2	2329		239-312			Demonstration 6: On the Bnay Qyama							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	7	http://syriaca.org/work/8501 {7}			
