Catégorie	Auteur	Titre français normalisé	Autres titres français	Titre latin	Titre syriaque normalisé	Incipit syriaque	Identifiant dans une clavis	cote catalogue et notes personnelles
	Abdišo' de Gazarta	Introduction à l'Évangile						Paris BnF syr. 434, IV
	'Abdišo' de Gazarta	Memra sur la vie monastique						Paris BnF syr. 434, IV
	'Abdišo' de Gazarta	Poème rimé					BAUMSTARK, §. 54g, p. 333 ; GEDSH, p. 4.	Paris BnF syr. 371, F
	'Abdišo' de Gazarta	Prière finale						Paris BnF syr. 434, IV
	'Abdišo' de Gazarta	Turgama sur Mar Quriaqos						Paris BnF syr. 434, IV
	Abdišo de Nisibe	Catalogue de tous les livres ecclésiastiques			ܡܢܝܢܐ ܕܟܠܗܘܢ ܟܬܒ̈ܐ ܥܕ̈ܬܢܝܐ		Éd. ASSEMANI, Bibliotheca Orientalis, t. III/1.	RAS syr. 1 ; Paris 315
	Abdišo de Nisibe	Le Livre de la perle			ܟܬܒܐ ܕܡܪܓܢܝܬܐ		Éd. MAI, Scriptorum Veterum, 1838, p. 317-66.	RAS syr. 1 ; Paris 315
	Abdišo' de Nisibe	Exposé de la foi nestorienne						Paris BnF syr. 315
	Abdišo' de Nisibe	Recueil de canons synodaux 					Éd. / Trad. latine MAI, Scriptorum Veterum, t. 10, 1838. 	Paris Bnf syr. 323 ; Strasbourg syr. 4120
Litur. 	Abdišo' de Nisibe	Traité sur le calendrier 						181, 3
	Abdišo' le Solitaire	Memra						Paris BnF syr. 434, II
	Abdmšiḥa de Ḥirta	Dialogue entre l'âme et le corps						Strasbourg syr. 4138
	Abdmšiḥa de Ḥirta	Lettre à Mar Boktišo'						Strasbourg syr. 4138
Litur. 	Abraham de Qidun 	Prières						178, 1
	Abraham Zabaya	Histoire de Rabban Bar 'Idta					Éd. / Trad. BUDGE, The Histories of Rabban Hormizd, 1902, vol. 1, p. 114-201 (texte) et vol. 2, p. 164-203 (trad.) ; cf. SCHER, ROC 11, 1906, p. 403-423, et 12, 1907, p. 9-13 ; BHO 137 ; SS 74.	Paris syr. 407 ; Strasbourg syr. 4132
	Aḥob Qaṭraya	Commentaire des Psaumes						Strasbourg syr. 4121
Théol. 	Al-Kindi 	Apologie de la religion chrétienne 						204, 8 (en carchouni) ; 205
	Ammonas	Lettres d'exhortation aux moines 					Éd. / Trad. NAU, PO 11, 4, 1915, p. 391-487 (pour le Paris 388) ; éd. / trad. KMOSKO, PO 10, 6, 1915, p. 555-616 ; CPG 2380.	Paris BnF syr. 388 ; Strasbourg syr. 4138
	Amphiloque d'Iconium (Attribué à)	Histoire d'Athanase d'Alexandrie					Cf. éd. version courte AMS VI, 460-461 ; BHO 114 ; cf. HOLLERICH, "The Sources", 1990, p. 273-283.	Damas
	Amphiloque d'Iconium (Attribué à)	Panégyrique de Basile de Césarée 					Éd. AMS VI, p. 297-335 (à partir du Add. 12174 et Berlin 321) ; BHO 170 ; CPG 3252 ; Cf. NAU, "Les vies syriaques", 1913, p. 248-251 ; MURAVIEV, "La partie syriaque", 1998, p. 203-210. 	Add. 12174
Hom. 	André Aḥijan	Homélie IV sur la nativité de la Vierge 		Homilia iv in natiuitatem b. Mariae 			CPG 8173 ; BHG 1092-1092b 	
Canon. 	Anthime de Trébizonde	Lettre à Jacques Baradée		Epistula ad Iacobum Baradaeum	 		Trad. NAU, ROC 14, 1909, p. 123-24 ; CPG 7085	62, 44
Litt. / Théol. 	Antoine le Grand 	Lettres 		Epistulae vii 			CPG 2330	201, 6
	Apnimaran	Explication des chapitres de la connaissance  					Baumstark, p. 204.	Paris BnF syr. 367, II
	Aristote	Catégories (traduction de Jacques d'Édesse)					Éd. GEORR, 1948	Paris BnF syr. 354
	Aristote	Sur l'hermenéutique			ܟܬܒܐ ܕܦܝܪܡܐܝܐܪܡܢܝܐܣ			Firenze BML Or. 174
	Athanase d'Alexandrie	Vérité de la foi orthodoxe						Paris BnF syr. 434, III
Litur.	Athanase d'Alexandrie 	Anaphore 		Anaphora Athanasii			CPG 2304	123-4 (Gloria in excelsis)
Théol. / AT / Comm. 	Athanase d'Alexandrie 	Dissertation sur Melkisedech 						206, 2/i 
Canon. 	Athanase d'Alexandrie 	Lettre à Ammon 		Epistula ad Amun 			CPG 2106	
Litur. 	Athanase d'Alexandrie 	Prières						177, 1
	Athanase d'Alexandrie 	Vie d'Antoine					Éd. AMS V, p. 1-121 (d'après Paris BnF syr. 317, BL 14732 et Berlin Sachau 321) et BUDGE, The Book of Paradise, 1904, II, 3-92 (trad. I, 1-108) ; cf. aussi SMITH-LEWIS, Apocrypha syriaca, 142-149 ; CPG 2101 ; BHO 68 ; 	236, 1 (version abrégée) ; (Damas)
	Athanase d'Alexandrie 	Credo						219 (en arabe)
Canon. 	Athanase de Balad	Lettre contre les musulmans 					Éd. / Trad. NAU, ROC 14, 1909, p. 128-30.	62, 52
Hom. 	Athanase de Jérusalem 	Cinquième homélie pour la Présentation au temple 					GCAL II, p. 86-88	232, 13g (garshuni)
Hom. 	Athanase de Jérusalem 	Deuxième homélie pour la Présentation de la Vierge au temple					GCAL II, p. 86-88	232, 13b (garshuni)
Hom. 	Athanase de Jérusalem 	Homélies pour les grandes fêtes 					GCAL II, 86-88	232, 13 (garshuni) cf. Sharfé Rahmani 69, 2abcde
Hom. 	Athanase de Jérusalem 	Première homélie pour la Nativité de la Vierge  					GCAL II, p. 86-88	232, 13a (garshuni)
Hom. 	Athanase de Jérusalem 	Quatrième homélie pour le Baptême 					GCAL II, p. 86-88	232, 13f (garshuni)
Hom. 	Athanase de Jérusalem 	Troisième homélie pour la Nativité du Seigneur 					GCAL II, p. 86-88	232, 13e (garshuni)
Mod. ? / Théol. 	Athanase Safar de Mardin 	Traité sur la grandeur et l'unité de l'Eglise catholique romaine 						219 (en arabe, puis traduit en syriaque n° 4)
Litur. 	Balaï	Prières 						149, 5 
	Barḥadbšabba 'Arbaya	Cause de la fondation des écoles						394
Canon.	Basile de Césarée	Lettre 160 à  Diodore 		Epistulae canonicae			CPG 2901	c'est la n° 160
Canon. 	Basile de Césarée	Lettre 188 à Amphiloque 		Epistulae canonicae			CPG 2901	62, n° 24
Canon. 	Basile de Césarée	Lettre 199 à Amphiloque 		Epistulae canonicae			CPG 2901	62, n° 25
Canon. 	Basile de Césarée	Lettre 217 à Amphiloque 		Epistulae canonicae			CPG 2901	62, n° 26
Canon. 	Basile de Césarée	Lettre 54 à des chorévêques 		Epistulae canonicae			CPG 2901	c'est la n° 54
Canon.	Basile de Césarée	Lettre aux moines à propos des persécutions des hérétiques 		Epistulae			Trad. NAU, ROC 14, 1909, p. 38. CPG 2900	257 ? À vérifier sur mss. 
Canon. 	Basile de Césarée	Peines contre les moines pécheurs 		Poenae in monachos delinquentes			CPG 2897/1	62, 45
Litur.	Basile de Césarée 	Homélie sur le jeûne 		De ieiunio, homilia i 			CPG 2845 ou 2846	110, 20 
Canon. 	Basile de Césarée 	Lettre 55 à Grégoire   		Epistulae canonicae			CPG 2901	c'est la n° 55 ; 201, 3 
Litur. 	Basile de Césarée 	Prières						178, 1
Litur.	Basile de Césarée 	Rite du baptême abrégé		Liturgia			CPG 2905 (pas attesté en syriaque)	100, 4 
Apoc. 	Basile de Césarée (attribué à)	Histoire de Joseph		Historia Joseph filii Jacob 			Éd. WEINBERG, 1893 (1ère partie) et LINK, 1895 (2e partie) ; CAVT 113 ; cf. HEAL, 2008. 	Paris BnF syr. 65, 5, en carchouni ;  234, 27 ; 309 ; Téhéran Issayi 18, 18 ;
Litur. 	Basile de Césarée et Grégoire de Nazianze	Liturgie		Liturgia			CPG 3097 (sous Grégoire de Nazianze)	76, 18
	Basile Man'amaya	Memra sur l'enfer 						Paris BnF syr. 377, 6
	Basilios Šem'un du Ṭur 'Abdin	Traité de théologie						Paris Bnf syr. 327
Hagio. 	Bišoy de Constantinople 	Histoire de Maxime et Domèce 			ܡܟܣܝܡܐܘܣ ܘܕܘܡܐܛܝܘܣ 		Éd. / Trad. : NAU, PO 5, 1910, p. 750-766 (Paris BnF syr. 234 et 236) ; BHO 742a ; SS 307 ; [traduit du grec : PG 65, col. 273-278 et PG 34, col. 253-257 (mais la version syriaque présente des anecdotes supplémentaires à la fin du texte)] 	234, 7 ; 235, 7 ; 236, 6 ; (Damas)
Canon. 	Célestin de Rome	Lettre à Constantinople 		Epistula Caelestini papae ad clerum populumque Costantinopolitanum 			Trad. NAU, ROC 14, 1909, p. 126-7 ; Cf. CPL 8640	62, 47. Contient aussi extraits de lettres à Cyrille et Jean d'Antioche. Zotenberg dit que pas de correspondance avec les lettres de la CPL. Pas de verions syriaques indiquées. 
Litur. 	Chénouté d'Atripé	Prières						178, 1
	Claude Ptolémée	Tétrabiblon					BAUMSTARK, §. 39d, p. 247 ; comparer avec le texte grec édité dans HÜBNER, 1998, vol. 3, 1.	Paris BnF syr. 346
Litur.	Clément de Rome	Anaphore 						76, 12 (non attesté dans la CPG) 
Canon. 	Clément de Rome	Canons 						110, 22 = Octateuque ? ; 223, 1/26
Apoc./ Canon.	Clément de Rome (attribué à)	Octateuque de Clément	Testament de Clément / Constitutions apostoliques	Constitutiones apostolorum / Octateuchus Clementinus	ܟܬܒ̈ܐ ܕܩܠܝܡܝܣ 		Éd. / Trad. NAU 1913 ; CPG 1733/1740 (extrait)	62 (extraits du livre I-VII / livre VIII)
Canon. 	Constantin de Laodicée 	Lettre à Marc l'Isaurien 		Epistula ad Marcum Isauriae			Trad. NAU, ROC 14, 1909, p. 116-7 ; CPG 7107	62, 39
