title syriaca-headword.en	New URI	relation skos---broadMatch	Ms 4	citedRange fol.Ms 4	bibl-note.Ms 4	Ms 5	citedRange fol.Ms 5	bibl-note.Ms 5	Edition 1	citedRange pp.Edition 1	note incipit.Edition 1.syr-Syrj	Catalogue 2	citedRange pp.Catalogue 2	cites.Catalogue 2
***Headword	Syriaca ID	In Literary Tradition												
Matthew (Peshitta Version)	72	9646	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	2a-31	Missing 1:1-13 and parts of 11:24-12:26	Manchester, John Rylands University Library, Syriac 1 (=Crawford Syriac 1) (6th cent.)	1b-67	10:33-11:10 is supplied from Harkleian version.				2430	117-119	Ms 4, Ms 5
Mark (Peshitta Version)	73	9647	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	31b-50		Manchester, John Rylands University Library, Syriac 1 (=Crawford Syriac 1) (6th cent.)	67b-107	Missing 5:5-23				2430	117-119	Ms 4, Ms 5
Luke (Peshitta Version)	74	9648	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	50b-83		Manchester, John Rylands University Library, Syriac 1 (=Crawford Syriac 1) (6th cent.)	107a-175	Missing 9:28-44				2430	117-119	Ms 4, Ms 5
John (Peshitta Version)	75	9641	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	83a-120a		Manchester, John Rylands University Library, Syriac 1 (=Crawford Syriac 1) (6th cent.)	175b-225	Missing 6:20-35 and defective from 18:34-end				2430	117-119	Ms 4, Ms 5
Acts (Peshitta Version)	76	9593	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	134a-168	Missing much of 8:11-10:12	Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	1b-38b					2430	118-119, 130-131	Ms 4, Ms 5
Romans (Peshitta Version)	77	9594	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	183a-196		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	66a-79	Includes introduction				2430	118-119, 130-131	Ms 4, Ms 5
1 Corinthians (Peshitta Version)	78	9595	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	196a-208		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	79b-93	Includes introduction				2430	118-119, 130-131	Ms 4, Ms 5
2 Corinthians (Peshitta Version)	79	9596	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	208b-217		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	93a-102	Includes introduction				2430	118-119, 130-131	Ms 4, Ms 5
Galatians (Peshitta Version)	80	9597	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	217a-221		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	102b-107	Includes introduction				2430	118-119, 130-131	Ms 4, Ms 5
Ephesians (Peshitta Version)	81	9598	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	221a-225		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	107a-112	Includes introduction				2430	118-119, 130-131	Ms 4, Ms 5
Philippians (Peshitta Version)	82	9599	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	225b-228		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	112a-115	Includes introduction				2430	118-119, 130-131	Ms 4, Ms 5
Colossians (Peshitta Version)	83	9600	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	228b-231		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	115a-118	Includes introduction				2430	118-119, 130-131	Ms 4, Ms 5
1 Thessalonians (Peshitta Version)	84	9601	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	231a-234		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	118b-121	Includes introduction				2430	118-119, 130-131	Ms 4, Ms 5
2 Thessalonians (Peshitta Version)	85	9602	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	234a-235		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	121b-123	Includes introduction				2430	118-119, 130-131	Ms 4, Ms 5
1 Timothy (Peshitta Version)	86	9603	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	235a-238		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	123a-127	Includes introduction				2430	118-119, 130-131	Ms 4, Ms 5
2 Timothy (Peshitta Version)	87	9604	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	238b-241		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	127a-129	Includes introduction				2430	118-119, 130-131	Ms 4, Ms 5
