title syriaca-headword.en	New URI	title.Edition 1.syr	title.Edition 1.syr-Syrj	Edition 1
***Headword	Syriaca ID			Antioch Bible bibl
1 Samuel (Peshitta Version)	9	[ܣܦܪܐ ܕܫܡܘܐܝܠ: ܐ]		2370
2 Samuel (Peshitta Version)	10	[ܣܦܪܐ ܕܫܡܘܐܝܠ: ܒ]		2370
Hosea (Peshitta Version)	28	ܟ݁ܬ݂ܒ݂ܐ ܕܗܘܫܥ ܢܒ݂ܝܐ	ܟ݁ܬ݂ܳܒ݂ܳܐ ܕܗܽܘܫܳܥ ܢܒ݂ܺܝܳܐ	2359
Joel (Peshitta Version)	29	ܟ݁ܬ݂ܒ݂ܐ ܕ݂ܝܘܐܝܠ ܢܒ݂ܝܐ	ܟ݁ܬ݂ܳܒ݂ܳܐ ܕ݂ܝܽܘܐܶܝܠ ܢܒ݂ܺܝܳܐ	2359
Amos (Peshitta Version)	30	ܟ݁ܬ݂ܒ݂ܐ ܕ݂ܥܡܘܣ ܢܒ݂ܝܐ	ܟ݁ܬ݂ܳܒ݂ܳܐ ܕ݂ܥܳܡܽܘܣ ܢܒ݂ܺܝܳܐ	2359
Obadiah (Peshitta Version)	31	ܟ݁ܬ݂ܒ݂ܐ ܕ݂ܥܘܒ݂ܕ݂ܝܐ ܢܒ݂ܝܐ	ܟ݁ܬ݂ܳܒ݂ܳܐ ܕ݂ܥܽܘܒ݂ܰܕ݂ܝܳܐ ܢܒ݂ܺܝܳܐ	2359
Jonah (Peshitta Version)	9714	ܟ݁ܬ݂ܒ݂ܐ ܕ݂ܝܘܢܢ ܢܒ݂ܝܐ	ܟ݁ܬ݂ܳܒ݂ܳܐ ܕ݂ܝܰܘܢܳܢ ܢܒ݂ܺܝܳܐ	2359
Micah (Peshitta Version)	32	ܟ݁ܬ݂ܒ݂ܐ ܕ݂ܡܝܟ݂ܐ ܢܒ݂ܝܐ	ܟ݁ܬ݂ܳܒ݂ܳܐ ܕ݂ܡܺܝܟ݂ܳܐ ܢܒ݂ܺܝܳܐ	2359
Nahum (Peshitta Version)	33	ܟ݁ܬ݂ܒ݂ܐ ܕ݂ܢܚܘܡ ܢܒ݂ܝܐ	ܟ݁ܬ݂ܳܒ݂ܳܐ ܕ݂ܢܰܚܽܘܡ ܢܒ݂ܺܝܳܐ	2359
