title syriaca-headword.en		New URI	relation skos---broadMatch		Edition 1	witnesses.Edition 1	title syriaca-headword.Edition 1.syr	title.Edition 1.syr	title.Edition 1.syr-Syrj	title.Edition 1.syr	note prologue.Edition 1.syr	title final-rubric.Edition 1.syr	title.Edition 2.syr	Edition 2		idno URI	idno URI	idno URI	idno URI	idno URI	citedRange pp.Edition 1			Source 1	title abbreviation.Source 1.en	title abbreviation.Source 1.en	title.Source 1.en	title.Source 1.en	title.Source 1.en	Edition 3	witnesses.Edition 3	citedRange entry.Edition 3	Edition 4	note prologue.Edition 4.syr	witnesses.Edition 4	title.Edition 4.syr	title.Edition 4.syr	note incipit.Edition 4.syr		citedRange entry.Edition 4	citedRange entry.Edition 4		citedRange verse.Edition 4	Edition 5	witnesses.Edition 5	citedRange entry.Edition 5	citedRange pp.Edition 5			Source 2	Ms 1	citedRange vol.Ms 1	citedRange fol.Ms 1	Ms 2	citedRange fol.Ms 2	Ms 3	Edition 6	title.Edition 6.syr	citedRange pp.Edition 6	witnesses.Edition 6	Edition 7	citedRange pp.Edition 7	Edition 8	citedRange pp.Edition 8	witnesses.Edition 8	title.Edition 8.syr-Syrj	note prologue.Edition 8.syr-Syrj	Edition 9	citedRange vol.Edition 9	Edition 0	witnesses.Edition 0	Source 3	Source 4	Apparatus 1	citedRange vol.Apparatus 1	citedRange pp.Apparatus 1	Apparatus 2	citedRange vol.Apparatus 2	citedRange pp.Apparatus 2	Catalogue 1	citedRange pp.Catalogue 1	Catalogue 2
***Headword	Syriaca URI	Syriaca ID	In Literary Tradition	UBS Order	UBS bibl	UBS witnesses	Syriac Name (UBS)	Alternate Syriac Name (UBS)	Alternate Syriac Name Vocalized (UBS)	Alternate Syriac Name (UBS)	Rubric (UBS)	Final Rubric (UBS)		Antioch Bible bibl	English Name (Wikipedia)		Wikidata	VIAF URI				Start page in UBS	End page in UBS	SBL Handbook	SBL Abbreviation	SBL Alternate Abbreviation	SBL Title	SBL Alternate Title	SBL Alternate Title	Leiden Electronic Peshitta			CAL					CAL Incipit	CAL ID		CAL Title	CAL Link						OCP Title	OCP Link	Abdisho/Assemani							Lagarde/Other				Lee 1823			Lee 1826				Mosul Edition		Leiden Print			Leiden Preface									
Genesis (Peshitta Version)	http://syriaca.org/work/1	1	9628	1	2335	Edition 7	ܣܦܪܐ ܕܒܪܝܫܝܬ	ܣܦܪܐ ܕܒܪܝܬܐ			ܒܫܡ ܡܪܝܐ ܐܚܝ̣ܕ ܟܠ ܡܫ̣ܪܝܢܢ ܕܢܚ̣ܬܘ̇ܡ ܟܬܒܐ ܕܐܘܪܝܬܐ ܕܡܘܫܐ ܢܒܝܐ				Genesis	https://en.wikipedia.org/wiki/Book_of_Genesis	https://www.wikidata.org/wiki/Q9184	https://viaf.org/viaf/174582712			1-42	1	42	2432	Gen		Genesis			2438	Ms 1	Genesis	2439		Edition 3			ܒܪܫܝܬ ܒܪܐ ܐܠܗܐ܂ ܝܬ ܫܡܝܐ ܘܝܬ ܐܪܥܐ܂	62001	62001 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62001&cset=USyriac]	P Gn	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62001&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	1-42	2381	1-42	Edition 7			2443	1	2389	Ms 1		2387									2442
Exodus (Peshitta Version)	http://syriaca.org/work/2	2	9632	2	2335	Edition 7	ܣܦܪܐ ܕܡܦܩܢܐ	ܣܦܪܐ ܕܬܪܝܢ ܪܐܘܪܝܬܐ ܪܡܫܬܡ̇ܗ ܡ̇ܦܩܢܐ					ܟܬܒܐ ܕܡܦܩܢܐ	2379	Exodus	https://en.wikipedia.org/wiki/Book_of_Exodus	https://www.wikidata.org/wiki/Q9190				42-76	42	76	2432	Exod		Exodus			2438	Ms 1	Exodus	2439		Edition 3			ܘܗܠܝܢ ܫܡ̈ܗܐ ܕܒܢ̈ܝ ܐܝܣܪܝܠ ܕܥܠܘ ܠܡܨܪܝܢ ܥܡ ܝܥܩܘܒ܂ ܓܒܪ ܘܒܝܬܗ ܥܠܘ܂	62002	62002 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62002&cset=USyriac]	P Ex	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62002&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	42-76	2381	42-76	Edition 7			2443	1	2390	Ms 1		2387									2442
Leviticus (Peshitta Version)	http://syriaca.org/work/3	3	9520	3	2335	Edition 7	ܣܦܪܐ ܕܟܗ̈ܢܐ	ܣܦܪܐ ܕܟܗ̈ܢܐ. ܕܬܠ̈ܬܐ ܕܐܘܪܝܬܐ					ܣܦܪܐ ܕܟܗ̈ܢܐ	2371	Leviticus	https://en.wikipedia.org/wiki/Book_of_Leviticus	https://www.wikidata.org/wiki/Q41490				76-101	76	101	2432	Lev		Leviticus			2438	Ms 1	Leviticus	2439		Edition 3			ܘܩܪܐ ܡܪܝܐ ܠܡܘܫܐ܂ ܘܡܠܠ ܥܡܗ ܡܢ ܡܫܟܢܙܒܢܐ ܠܡܐܡܪ܂	62003	62003 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62003&cset=USyriac]	P Lv	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62003&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	76-101	2381	76-101	Edition 7			2443	1	2391	Ms 1		2387									2442
Numbers (Peshitta Version)	http://syriaca.org/work/4	4	9652	4	2335	Edition 7	ܣܦܪܐ ܕܡܢ̇ܝܢܐ	ܡܢܝ̇ܢܐ ܣܦܪܐ ܕܐܪܒܥܐ ܕܐܘܪܝܬܐ					ܣܦܪܐ ܕܡܢܝܢܐ	2374	Numbers	https://en.wikipedia.org/wiki/Book_of_Numbers	https://www.wikidata.org/wiki/Q43099				101-136	101	136	2432	Num		Numbers			2438	Ms 1	Numbers	2439		Edition 3			ܘܡܠܠ ܡܪܝܐ ܥܡ ܡܘܫܐ ܒܡܕܒܪܐ ܕܣܝܢܝ ܒܡܫܟܢܙܒܢܐ܂ ܒܚܕ ܒܝܪܚܐ ܬܢܝܢܐ܂ ܒܫܢܬ ܬܪ̈ܬܝܢ ܟܕ ܢܦܩܘ ܒܢ̈ܝ ܐܝܣܪܝܠ ܡܢ ܐܪܥܐ ܕܡܨܪܝܢ ܘܐܡܪ ܠܗ܂	62004	62004 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62004&cset=USyriac]	P Nm	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62004&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	101-136	2381	101-136	Edition 7			2443	1	2392	Ms 1		2387									2442
Deuteronomy (Peshitta Version)	http://syriaca.org/work/5	5	9522	5	2335	Edition 7	ܣܦܪܐ ܕܬܢ̇ܝܢ ܢܡܘܣܐ	ܬܢܝ̇ܢ ܢ̇ܡܘܣܐ ܣ̣ܦܪܐ ܕܚܡ̈ܫܐ ܕܐܘܪܝܬܐ					ܣܦܪܐ ܕܬܢܝܢ ܢܡܘܣܐ	2365	Deuteronomy	https://en.wikipedia.org/wiki/Book_of_Deuteronomy	https://www.wikidata.org/wiki/Q42614				136-166	136	166	2432	Deut		Deuteronomy			2438	Ms 1	Deuteronomy	2439		Edition 3			ܘܗܠܝܢ ܦܬ̈ܓܡܐ ܕܐܡܪ ܡܘܫܐ ܠܟܠܗ <ܒܝܬ> ܐܝܣܪܝܠ܂ ܒܥܒܪܐ ܕܝܘܪܕܢܢ ܒܡܕܒܪܐ܂ ܠܘܩܒܠ ܣܘܦ܂ ܒܝܬ ܦܪܢ ܘܒܝܬ ܬܦܠ܂ ܘܠܒܢܢ ܘܚܨܪܘܬ ܘܪܙܗܒ܂	62005	62005 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62005&cset=USyriac]	P Dt	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62005&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	136-166	2381	136-166	Edition 7			2443	1	2393	Ms 1		2387									2442
Job (Peshitta Version)	http://syriaca.org/work/18	18	9535	6	2335	Edition 7	ܣܦܪܐ ܕܐܝܘܒ	ܟܬܒܐ ܕܐܝܘܒ		ܟܬܒܐ ܕܐܝܘܒ ܙܕܝܩܐ	ܒܫܡ ܐܒܐ ܘܒܪܐ ܘܪܘܚܐ ܩܕܝܫܐ ܚܕ ܐܠܗܐ ܡܫ̣ܪܝܢܢ ܠܡܟ̣ܬܒ ܟܬܒܐ ܕܐܝܘܒ ܙܕܝܩܐ		ܟܬܒܐ ܕܐܝܘܒ ܙܕܝܩܐ	2378	Job	https://en.wikipedia.org/wiki/Book_of_Job	https://www.wikidata.org/wiki/Q4577				166-186	166	186	2432	Job		Job			2438	Ms 1	Job	2439		Edition 3			ܓܒܪܐ ܚܕ ܐܝܬ ܗܘܐ ܒܐܪܥܐ ܕܥܘܨ܂ ܐܝܘܒ ܫܡܗ܂ ܓܒܪ ܗܘܐ ܬܡܝܡ ܘܙܕܝܩ ܘܕܿܚܠ ܠܐܠܗܐ ܘܣܿܛܐ ܡܢ ܒܝܫܬܐ܂	62028	62028 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62028&cset=USyriac]	P Job	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62028&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	166-186	2381	166-186	Edition 7			2443	2	2395	Ms 1		2387									2442
Joshua (Peshitta Version)	http://syriaca.org/work/6	6	9666	7	2335	Edition 7	ܣܦܪܐ ܕܝܫܘܥ ܒܪ ܢܘܢ	ܟܬܒܐ ܕܝܫܘܥ ܒܪܢܘܢ ܬܠܡܝܕܗ ܕܡܘܫܐ					ܣܦܪܐ ܕܝܫܘܥ ܒܪ ܢܘܢ	2375	Joshua	https://en.wikipedia.org/wiki/Book_of_Joshua	https://www.wikidata.org/wiki/Q47680	https://viaf.org/viaf/181443388			186-208	186	208	2432	Josh		Joshua			2438	Ms 1	Joshua	2439		Edition 3			ܘܡܢ ܒܬܪ ܕܡܝܬ ܡܘܫܐ ܥܒܕܗ ܕܡܪܝܐ܂ ܐܡܪ ܡܪܝܐ ܠܝܫܘܥ ܒܪ`ܢܘܢ ܡܫܡܫܢܗ ܕܡܘܫܐ܂	62006	62006 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62006&cset=USyriac]	P Jos	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62006&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	186-208	2381	186-208	Edition 7			2443	1	2394	Ms 1		2387									2442
Judges (Peshitta Version)	http://syriaca.org/work/7	7	9650	8	2335	Edition 7	ܣܦܪܐ ܕܕܝܢ̈ܐ ܕܒܢ̈ܝ ܐܝܣܪܐܝܠ	ܣܦܪ ܕܝ̇ܢ̈ܐ ܕܒ̈ܢܝ ܐܝܣܪܐܝܠ. ܕܡ̣ܬܩܪܐ ܥܒܪܐܝܬ ܫܦ̈ܛܐ					ܣܦܪܐ ܕܕܝ̈ܢܐ	2376	Judges	https://en.wikipedia.org/wiki/Book_of_Judges	https://www.wikidata.org/wiki/Q81240	https://viaf.org/viaf/89144814454212127787	https://viaf.org/viaf/644144783030144873502		208-229	208	229	2432	Judg		Judges			2438	Ms 1	Judges	2439		Edition 3			ܘܗܘܐ ܡܢ ܒܬܪ ܕܡܝܬ ܝܫܘܥ ܒܪ`ܢܘܢ ܥܒܕܗ ܕܡܪܝܐ܂ ܫܐܠܘ ܒܢ̈ܝ ܐܝܣܪܝܠ ܒܡܪܝܐ ܘܐܡܪ̈ܝܢ܂ ܡܢܘ ܢܣܩ ܠܢ ܥܠ ܟܢܥܢ̈ܝܐ ܒܪܝܫܐ܂ ܠܡܬܟܬܫܘ ܥܡܗܘܢ ܒܩܪܒܐ܂	62007	62007 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62007&cset=USyriac]	P Ju	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62007&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	208-229	2381	208-229	Edition 7			2443	1	2396	Ms 1		2387									2442
1 Samuel (Peshitta Version)	http://syriaca.org/work/9	9	9526	9	2335	Edition 7	ܣܦܪܐ ܕܫܡܘܐܝܠ ܢܒܝܐ ܩܕܡܝܐ	ܟܬܒܐ ܕܫܡܘܐܝܠ ܢܒܝܐ						2370							229-257	229	257	2432	1 Sam	1 Kgdms	1 Samuel	1 Kingdoms		2438	Ms 1	1 Samuel	2439		Edition 3			ܘܗܘܐ ܓܒܪܐ ܚܕ ܡܢ ܪܡܬܐ ܕܕܘܩ̈ܐ ܡܢ ܛܘܪܐ ܕܐܦܪܝܡ܂ ܘܫܡܗ ܗܠܩܢܐ܂ ܒܪ ܝܪܚܘܡ ܒܪ ܐܠܝܗܘ܂ ܒܪ ܬܚܘ܂ ܒܪ ܨܘܦ ܐܦܪܬܝܐ܂	62008	62008 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62008&cset=USyriac]	P 1S	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62008&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	229-257	2381	229-257	Edition 7			2443	1	2397	Ms 1		2387									2442
