New URI	title syriaca-headword.en	title syriaca-headword.Edition 1.syr	title syriaca-headword.syr	title.Edition 1.syr	title syriaca-headword.grc	title.grc	title.la	author ref.Source 1	author role.Source 1	editor ref.Source 1	editor role.Source 1	note incipit.Edition 1.syr	note incipit.Version 1.grc	note incipit.Translation 1.en	note excerpt.Edition 1.syr	note excerpt.Version 1.grc	note excerpt.Translation 1.en	note explicit.Edition 1.syr	note explicit.Version 1.grc	note explicit.Translation 1.en	title final-rubric.Edition 1.syr	Edition 1	citedRange entry.Edition 1	bibl-note.Edition 1	witnesses.Edition 1	Translation 1	citedRange entry.Translation 1	lang.Translation 1	Edition 2	Edition 3	cItedRange entry.EdItIon 2	bibl-note.Edition 2	Translation 2	cItedRange entry.TranslatIon 2	lang.Translation 2	Translation 3	citedRange pp. Translation 3	lang.Translation 3	Version 1	citedRange pp.Version 1	lang.Version 1	Version 2	citedRange pp.Version 2	lang.Version 2	Version 3	citedRange pp.Version 3	lang.Version 3	Source 1	citedRange pp.Source 1	date.Source 1.en	date when.Source 1	date notBefore.Source 1	date notAfter.Source 1	title.Source 2.syr	Source 2	citedRange pp.Source 2	bibl ana	extent.en	note abstract.en		relation dcterms---isPartOf	relation dcterms---isPartOf						relation dcterms---isPartOf					relation skos---broadMatch	relation possibly-identical	idno URI	idno URI	ReferenceWork 1	citedRange vol.ReferenceWork 1	citedRange pp.ReferenceWork 1	citedRange entry.ReferenceWork 1	note note.en
***	English Headword	Syriac Headword from Edition 1	Syriac Headword (Constructed)	Syriac Title from Edition 1	Greek Headword	Greek Title	Latin Title	Author URI	Author Role (Source 1)	Editor URI (Source 1)	Editor Role (Source 1)	Syriac Incipit (Edition 1)	Greek Incipit (Version 1)	English Incipit (Version 1)	Syriac Excerpt (Edition 1)	Greek Excerpt (Version 1)	English Excerpt (Version 1)	Syriac Explicit (Edition 1)				PO	PO letter #	Edition 1 (PO) Notes		P.O. Translation	P.O. #	P.O. Translation language	S.L. Edition		S.L. #	Edition 2 (SL) Notes	S.L. Translation	S.L. #																										Letters URI	Letters URI with book/letter #	Letters URI with book/letter # (2)	Combined Book-Letter #	Containing Book (Arabic Numeral)	Containing Book (NOT YET SET UP FOR EXPORT!)	Letter # (NOT YET SET UP FOR EXPORT!)	6th Book Select Letters URI	6th Book Select Letters URI with book/letter#	Combined Book-Letter #	Containing Book (Arabic Numeral)	Containing Book (NOT YET SET UP FOR EXPORT!)	Letter # (NOT YET SET UP FOR EXPORT!)	Literary Tradition		VIAF URI	Wikipedia URL	Reference Work 1	Reference Work 1 volume	Reference Work 1 pages	Reference Work 1 entry	Notes (General)
*** REQUIRED. Contains the new Syriaca.org URI to be assigned to each row.	REQUIRED. (text) The display name used in Syriaca page titles, etc. Each row must have at least 1 cell with a "title syriaca-headword" value, in English ("en"), transliteration (e.g., "en-x-gedsh"), or Syriac ("syr"). This can have a source but doesn't have to. (See http://syriaca.org/exist/apps/srophe/documentation/headwords.html)	REQUIRED IF a Syriac title is available and there is no other Syriac headword. (text) The display name used in Syriaca page titles, etc. Each row must have at least 1 cell with a "title syriaca-headword" value, in English ("en"), transliteration (e.g., "en-x-gedsh"), or Syriac ("syr"). This can have a source but doesn't have to. (See http://syriaca.org/exist/apps/srophe/documentation/headwords.html)	REQUIRED IF a Syriac headword from an edition is not being used. (text)	OPTIONAL. (text) A Syriac (non-headword) title attested in Edition 1.		OPTIONAL. (text) A Greek (non-headword) title attested in Edition 1.	OPTIONAL. (text) A Latin title attested in Edition 1.	RECOMMENDED. (URI) The full Syriaca.org URI of the work author, according to Source 1. If there is more than 1 author from Source 1, duplicate this column.	OPTIONAL. (URI) The URI corresponding to the author's role according to Source 1, selected from http://syriaca.org/documentation/author-editor-roles.xml, ONLY if that role is disputed or if you want to specify something different from regular "author". If there is more than 1 author from Source 1, duplicate this column.	OPTIONAL. (URI) The full Syriaca.org URI of the work's editor (including translators, scribes, etc.), according to Source 1. If there is more than 1 editor from Source 1, duplicate this column.	OPTIONAL. (URI) The URI corresponding to the editor's role according to Source 1, selected from http://syriaca.org/documentation/author-editor-roles.xml, ONLY if that role is disputed or if you want to specify something different from regular "editor". If there is more than 1 editor from Source 1, duplicate this column.	HIGHLY RECOMMENDED. (text) The work's incipit, in Syriac, according to Source 1.	OPTIONAL. (text) The work's incipit, in Greek, according to Version 1.	HIGHLY RECOMMENDED. (text) The work's incipit, in English, according to Source 1.				OPTIONAL. (text) The work's explicit, in Syriac, according to Source 1.	OPTIONAL. (text) The work's explicit, in Greek, according to Version 1.	OPTIONAL. (text) The work's explicit, in English, according to Source 1.					Names of columns containing ids of manuscripts, editions, etc. that are witnesses for this work. Separate multiple items with commas.																							REQUIRED IF any columns use this source. (Syriaca.org bibl number) The number (only) of the bibl record for this source. The converter adds "http://syriaca.org/bibl" automatically. For example, Select Letters of Severus 1.2 is "667".	REQUIRED IF any columns use Source 1. (e.g., page or section number) Whatever comes after "citedRange_" in the column name and before the dot (.) is put into the @unit attribute (e.g., "pp", "section", or "entry"). Accepts a URL linking to this location (as @target) inside square brackets. E.g., "21 [http://archive.org/...]" If there is no citedRange for a source, the source is not processed. Enter "none" if the source should be processed anyway.	OPTIONAL. (a human readable date, e.g., "November 405" or "mid-4th cent.") The date of the work's composition. If Google Sheets is wrongly converting your dates automatically, select this column and format the cells as "plain text."	REQUIRED IF the human-readable "date" column has a precise date. (YYYY-MM-DD or YYYY-MM or YYYY) See "Machine-readable dates" in the Spreadsheet Rules tab. For approximate dates, use the notBefore and notAfter columns instead. Cells must be formatted as plain text.	REQUIRED IF the human-readable "date" column has a date range. (YYYY-MM-DD or YYYY-MM or YYYY). See "Machine-readable dates" in the Spreadsheet Rules tab. Use this column to specify the beinning of a specific date range, a terminus post quem (e.g., "after ..."), or the outer limit of an approximate date range. See http://syriaca.org/exist/apps/srophe/documentation/dates.html for more details about approximate dates. Cells must be formatted as "plain text."	REQUIRED IF the human-readable "date" column has a date range. (YYYY-MM-DD or YYYY-MM or YYYY). See "Machine-readable dates" in the Spreadsheet Rules tab. Use this column to specify the end of a specific date range, a terminus ante quem (e.g., "before ..."), or the outer limit of an approximate date range. See http://syriaca.org/exist/apps/srophe/documentation/dates.html for more details about approximate dates.  Cells must be formatted as "plain text."	OPTIONAL. (text) The title in Syriac, according to Source 2.	REQUIRED IF any columns use this source. (Syriaca.org bibl number) The number (only) of the bibl record for this source. The converter adds "http://syriaca.org/bibl" automatically. For example, Select Letters of Severus 1.2 is "667".	REQUIRED IF any columns use Source 2. (e.g., page or section number) Whatever comes after "citedRange_" in the column name and before the dot (.) is put into the @unit attribute (e.g., "pp", "section", or "entry"). Accepts a URL linking to this location (as @target) inside square brackets. E.g., "21 [http://archive.org/...]" If there is no citedRange for a source, the source is not processed. Enter "none" if the source should be processed anyway.	RECOMMENDED (URI) Subject or genre tag from the list at http://syriaca.org/documentation/work-subject-classifications.xml. (e.g., http://syriaca.org/documentation/work-subject-classifications.xml#history-universal)	RECOMMENDED (text) Prose description of number of parts, sections, stanzas, etc.	HIGHLY RECOMMENDED. (text) A brief description that helps identify the work and distinguish it from other works that may be confused. Currently only <note>s with @type="abstract" are supported in the conversion.		OPTIONAL. (Syriaca.org URI) The URI of a Syriaca.org work which contains this work. Separate multiple URIs with commas. (If the URI contains commas [unlikely], replace them with "%2c".) The conversion automatically uses the value of the column name after "relation_" as the @ref of the <relation>, but currently only "possibly-identical" is defined in the column-mapping template. Triple-hyphens (---) in the @ref values are converted to colons (:) to allow prefixed namespaces. Adding a number in brackets at the end will include that as the "part" number within the relation element. If part numbers are used, then separate columns should be created for multiple URIs/part numbers.												OPTIONAL. (Syriaca.org URI) The URI of a Syriaca.org literary tradition which contains this work (e.g., "Alexandra (text)" is part of "Alexandra (literary tradition)" http://syriaca.org/work/2057). Separate multiple URIs with commas. (If the URI contains commas [unlikely], replace them with "%2c".) The conversion automatically uses the value of the column name after "relation_" as the @ref of the <relation>, but currently only "possibly-identical" is defined in the column-mapping template. Triple-hyphens (---) in the @ref values are converted to colons (:) to allow prefixed namespaces.	OPTIONAL. (Syriaca.org URI) The URI of other Syriaca.org entities with which the work on this row has a relationship. This must be a full URL (including "http://...") if the entity is not a work. If there is more than one URI related to this work, you can separate the URIs with commas. (If the URI contains commas [unlikely], replace them with "%2c".) The conversion automatically uses the value of the column name after "relation_" as the @ref of the <relation>, but currently only "possibly-identical" is defined in the column-mapping template. Triple-hyphens (---) in the @ref values are converted to colons (:) to allow prefixed namespaces.	OPTIONAL. (e.g., a URI) An additional identifier for the work (such as a Pinakes, Wikipedia, or VIAF.org URI). The part of the column name after "idno_" automatically becomes the @type value for the <idno>.	OPTIONAL. (e.g., a URI) An additional identifier for the work (such as a Pinakes, Wikipedia, or VIAF.org URI). The part of the column name after "idno_" automatically becomes the @type value for the <idno>.				Accepts a URL linking to this location (as @target) inside square brackets. E.g., "21 [http://archive.org/...]" If there is no citedRange for a source, the source is not processed. Enter "none" if the source should be processed anyway.	
3000	About the Anthropomorphists							http://syriaca.org/person/51														http://syriaca.org/bibl/670	28			http://syriaca.org/bibl/670	28	en																				http://syriaca.org/bibl/670	259	490-512		0490	0512						A letter of Severus of Antioch appearing in the no-longer-extant large collection, The Letters of Severus, I.7.	http://syriaca.org/work/10541	http://syriaca.org/work/10541[1.7]		1.7	1	I	7															
3001	To Theognostus							http://syriaca.org/person/51														http://syriaca.org/bibl/671	109			http://syriaca.org/bibl/671	109	en																				http://syriaca.org/bibl/671	273	508-512		0508	0512						A letter of Severus of Antioch appearing in the no-longer-extant large collection, The Letters of Severus, I.250.	http://syriaca.org/work/10541	http://syriaca.org/work/10541[1.250]		1.250	1	I	250															
3002	To a Woman on behalf of Maximus in the Name of Abba							http://syriaca.org/person/51																					http://syriaca.org/bibl/667		X.2		http://syriaca.org/bibl/669	X.2	en													http://syriaca.org/bibl/669	433	489-508		0489	0508						A letter of Severus of Antioch appearing in the no-longer-extant large collection, The Letters of Severus, I.272, and in the Sixth Book of the Select Letters as X.2.	http://syriaca.org/work/10541	http://syriaca.org/work/10541[1.272]		1.272	1	I	272	http://syriaca.org/work/10543	http://syriaca.org/work/10543[10.2]	10.2	10	X	2									
3003	To Phocas and Eupraxius the Chamberlains							http://syriaca.org/person/51														http://syriaca.org/bibl/671	68			http://syriaca.org/bibl/671	68	en																				http://syriaca.org/bibl/671	71	508-511		0508	0511						A letter of Severus of Antioch appearing in the no-longer-extant large collection, The Letters of Severus, II.10.	http://syriaca.org/work/10541	http://syriaca.org/work/10541[2.10]		2.10	2	II	10															
3004	To Bishop Constantine of Seleucia							http://syriaca.org/person/51																					http://syriaca.org/bibl/666		I.1		http://syriaca.org/bibl/668	I.1	en													http://syriaca.org/bibl/668	3	508-511		0508	0511						A letter of Severus of Antioch appearing in the no-longer-extant large collection, The Letters of Severus, as II.12, and in the Sixth Book of the Select Letters as I.1.	http://syriaca.org/work/10541	http://syriaca.org/work/10541[2.12]		2.12	2	II	12	http://syriaca.org/work/10543	http://syriaca.org/work/10543[1.1]	1.1	1	I	1									
3005	To Antoninus, Bishop of Berrhœa							http://syriaca.org/person/51														http://syriaca.org/bibl/670	29			http://syriaca.org/bibl/670	29	en																				http://syriaca.org/bibl/670	260	513-518		0513	0518						A letter of Severus of Antioch appearing in the no-longer-extant large collection, The Letters of Severus, II.63.	http://syriaca.org/work/10541	http://syriaca.org/work/10541[2.63]		2.63	2	II	63															
3006	To the Patricians							http://syriaca.org/person/51																					http://syriaca.org/bibl/666		II.1		http://syriaca.org/bibl/668	II.1	en													http://syriaca.org/bibl/668	199	508-511		0508	0511						A letter of Severus of Antioch appearing in the no-longer-extant large collection, The Letters of Severus, III.5, and in the Sixth Book of the Select Letters as II.1.	http://syriaca.org/work/10541	http://syriaca.org/work/10541[3.5]		3.5	3	III	5	http://syriaca.org/work/10543	http://syriaca.org/work/10543[2.1]	2.1	2	II	1									
3007	To Conon the Silentiary							http://syriaca.org/person/51																					http://syriaca.org/bibl/667		X.4		http://syriaca.org/bibl/669	X.4	en													http://syriaca.org/bibl/669	439	508-511		0508	0511						A letter of Severus of Antioch appearing in the no-longer-extant large collection, The Letters of Severus, III.227, and in the Sixth Book of the Select Letters as X.4.	http://syriaca.org/work/10541	http://syriaca.org/work/10541[3.227]		3.227	3	III	227	http://syriaca.org/work/10543	http://syriaca.org/work/10543[10.4]	10.4	10	X	4									
